Topic ID,Name,Size,Percentage,Top Words and Phrases,Example Documents,Explanation,Most Similar Topic
101,101_gun silencer_silencer_video hand_gun silencer several,24,0.02%,"gun silencer, silencer, video hand, gun silencer several, silencer several time, several time say, post video hand, silencer several, hand firing, firing gun silencer",message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydi bohfspdltcnrecipientscnfcacafa fbeguillermo r individual post ...; message sent subject first alert urgent alertdataminrcomj pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo ft individual post vide...; message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo ft individual post ...,"This topic appears to be about 101_gun silencer_silencer_video hand_gun silencer several. The documents in this topic are grouped together because they frequently contain words and phrases like gun silencer, silencer, video hand, gun silencer several, silencer several time. These terms suggest a common theme or subject matter across the documents.",Topic 101: 101_gun silencer_silencer_video hand_gun silencer several
102,102_plaquemine_dow chemical_plaquemine la_dow,24,0.02%,"plaquemine, dow chemical, plaquemine la, dow, chemical, chemical plaquemine, dow chemical plaquemine, chemical plaquemine la, chlorine, la",message sent subject first alert urgent update alertdataminrcom rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo ft site emergency resp...; message sent subject first alert urgent update alertdataminrcom rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo ft white cloud rise ...; message sent subject first alert digest alertdataminrcom rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafafbeguillermo r first alert dataminr morning...,"This topic appears to be about 102_plaquemine_dow chemical_plaquemine la_dow. The documents in this topic are grouped together because they frequently contain words and phrases like plaquemine, dow chemical, plaquemine la, dow, chemical. These terms suggest a common theme or subject matter across the documents.",Topic 102: 102_plaquemine_dow chemical_plaquemine la_dow
103,103_state department employee_department employee_nso group_nso,24,0.02%,"state department employee, department employee, nso group, nso, software, hacked using, pegasus software, pegasus, based uganda, apple cell phone",message sent subject first alert urgent alertdataminrcomj pm carolynmontagnadcgov vodc governmentouexternal fydibohfspdltcnrecipientscncdedefddeb u representative malinowski failed disclose stock tran...; message sent subject first alert urgent alertdataminrcomj pm dc govern ntouexternal fydibohfspdltcnrecipientscncfebdbbf u representative malinowski failed disclose stock transaction worth least aide a...; message sent subject first alert urgent update alertdataminrcom pm guillermoriveradcgov odc governmentoufirst administrative groupcnrecipientscnguillermorivera nso group release statement saying indic...,"This topic appears to be about 103_state department employee_department employee_nso group_nso. The documents in this topic are grouped together because they frequently contain words and phrases like state department employee, department employee, nso group, nso, software. These terms suggest a common theme or subject matter across the documents.",Topic 103: 103_state department employee_department employee_nso group_nso
104,104_breyer_retirement_supreme court justice_supreme court,24,0.02%,"breyer, retirement, supreme court justice, supreme court, supreme, court justice, justice, justice breyer, court, stephen",message sent subject first alert flash alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo ft u supreme court justice ...; message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo ft u supreme court ...; message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo ft u supreme court ...,"This topic appears to be about 104_breyer_retirement_supreme court justice_supreme court. The documents in this topic are grouped together because they frequently contain words and phrases like breyer, retirement, supreme court justice, supreme court, supreme. These terms suggest a common theme or subject matter across the documents.",Topic 104: 104_breyer_retirement_supreme court justice_supreme court
105,105_portland_portland usa_portland reporter_downtown portland,24,0.02%,"portland, portland usa, portland reporter, downtown portland, southwest, yamhill, multnomah county, multnomah, portland reporter video, street portland",message sent subject first alert digest alertdataminrcomj carolynmontagnadcgov vodc governmentouexchange administrative group fydibohfspdltcnrecipientscncarolynmontagnaj first alert dataminr morning d...; message sent subject first alert digest alertdataminrcom iffedactegi odc governmentoufirst administrative l first alert dataminr morning digest april alert redacted caution email originated outside dc...; message sent subject first alert urgent update alertdataminrcom dc govern ntou fi rst administrative redacted police declare riot projectile thrown officer attempt breach penumbra kelly building portl...,"This topic appears to be about 105_portland_portland usa_portland reporter_downtown portland. The documents in this topic are grouped together because they frequently contain words and phrases like portland, portland usa, portland reporter, downtown portland, southwest. These terms suggest a common theme or subject matter across the documents.",Topic 105: 105_portland_portland usa_portland reporter_downtown portland
106,106_slack_outage_est slack_twitter slack,24,0.02%,"slack, outage, est slack, twitter slack, via twitter slack, san, san francisco ca, francisco ca, san francisco, francisco",message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo rj slack service re...; message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo rj slack say issue ...; message sent subject first alert flash alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo rj amazon web service slack...,"This topic appears to be about 106_slack_outage_est slack_twitter slack. The documents in this topic are grouped together because they frequently contain words and phrases like slack, outage, est slack, twitter slack, via twitter slack. These terms suggest a common theme or subject matter across the documents.",Topic 106: 106_slack_outage_est slack_twitter slack
107,107_greene_clause_house rule_fined,24,0.02%,"greene, clause, house rule, fined, committee, rule, greene fined, pursuant, rule ii, house rule ii",message sent subject first alert urgent ealertdataminrcomj pm montagna carolyn mpd voexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnbddcbfebcarolyn monj u representative majori...; message sent subject first alert urgent ealertdataminrcomj pm rivera guillermo mpd oexchangelabsouexchange administrative group fydi bo hfsp dltcnrecipientscnfcacafa fbeguillermo ft u representative m...; message sent subject first alert urgent alertdataminrcomj pm redacted oexchangelabsouexchange administrative group fyd bo h f sp dltcnrecip ie u representative majorie taylor greene issued additional ...,"This topic appears to be about 107_greene_clause_house rule_fined. The documents in this topic are grouped together because they frequently contain words and phrases like greene, clause, house rule, fined, committee. These terms suggest a common theme or subject matter across the documents.",Topic 107: 107_greene_clause_house rule_fined
108,108_everett_starbucks_everett wa_sioux,24,0.02%,"everett, starbucks, everett wa, sioux, sioux fall, fall sd, sioux fall sd, sd, broadway, broadway avenue",message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo ft officer killed s...; message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibonfspdltcnrecipientscnfcacafalofbeguillermo ft suspect custody...; message sent subject first alert urgent alertdataminrcomj rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo ft possible crash prompt p...,"This topic appears to be about 108_everett_starbucks_everett wa_sioux. The documents in this topic are grouped together because they frequently contain words and phrases like everett, starbucks, everett wa, sioux, sioux fall. These terms suggest a common theme or subject matter across the documents.",Topic 108: 108_everett_starbucks_everett wa_sioux
109,109_saudi_salman_khalid bin_bin,24,0.02%,"saudi, salman, khalid bin, bin, khalid, khalid bin salman, bin salman, blinken, secretary state, kylie atwood",message sent subject first alert urgent alertdataminrcomj pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo rj u president biden saud...; message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo ft u president bide...; message sent subject first alert urgent alertdataminrcom pm ennis ralph mpd oexchangelabsouexchange administrative group fydibonfspdltcnrecipientscnbaedefaaadfccdralph ennis saudi king salman stress i...,"This topic appears to be about 109_saudi_salman_khalid bin_bin. The documents in this topic are grouped together because they frequently contain words and phrases like saudi, salman, khalid bin, bin, khalid. These terms suggest a common theme or subject matter across the documents.",Topic 109: 109_saudi_salman_khalid bin_bin
110,110_anchorage_ak_anchorage ak_captain cook,23,0.02%,"anchorage, ak, anchorage ak, captain cook, captain, hotel captain cook, hotel captain, cook, cook anchorage, cook anchorage ak",message sent subject first alert urgent update alertdataminrcom rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo ft injury reported s...; message sent subject first alert urgent update alertdataminrcom rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsfbeguillermo ft man possibly threa...; message sent subject first alert urgent update alertdataminrcom rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo ft evacuation due repo...,"This topic appears to be about 110_anchorage_ak_anchorage ak_captain cook. The documents in this topic are grouped together because they frequently contain words and phrases like anchorage, ak, anchorage ak, captain cook, captain. These terms suggest a common theme or subject matter across the documents.",Topic 110: 110_anchorage_ak_anchorage ak_captain cook
111,111_kazakhstan_almaty_almaty kazakhstan_kazakhstan local,23,0.02%,"kazakhstan, almaty, almaty kazakhstan, kazakhstan local, russian, almaty kazakhstan local, protester, protest, kazakhstan local news, kazakhstan january est",message sent subject first alert flash alertdataminrcom montagna carolyn mpd oexchangelabsouexchange administrative group fydibonfspdltcnrecipientscnbddcbfebcarolyn monj update protester forcibly ente...; message sent subject first alert digest alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafafbeguillermo r first alert dataminr even...; message sent subject first alert flash alertdataminrcom montagna carolyn mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnbddcbfebcarolyn monj update police confirm dozen pr...,"This topic appears to be about 111_kazakhstan_almaty_almaty kazakhstan_kazakhstan local. The documents in this topic are grouped together because they frequently contain words and phrases like kazakhstan, almaty, almaty kazakhstan, kazakhstan local, russian. These terms suggest a common theme or subject matter across the documents.",Topic 111: 111_kazakhstan_almaty_almaty kazakhstan_kazakhstan local
112,112_mall washington dc_national mall washington_mall washington_national mall,23,0.02%,"mall washington dc, national mall washington, mall washington, national mall, protest national, protest national mall, nationalist, mall, dc local source, national",message sent subject first alert alert alertdataminrcom pm carolynmontagnadcgov vodc governmentouexchange administrative group fydibohfpdltcnrecipientscncarolynmontagnaj member nationalist group patri...; message sent subject first alert urgent update alertdataminrcom pm carolynmontagnadcgov vodc governmentouexchange administrative group fydibohfspdltcnrecipientscncarolynmontagnaj protester head lincol...; message sent subject first alert alert alertdataminrcom pm guillermoriveradcgov odc governmentoufirst administrative groupcnrecipientscnguillermorivera member nationalist group patriot front using box...,"This topic appears to be about 112_mall washington dc_national mall washington_mall washington_national mall. The documents in this topic are grouped together because they frequently contain words and phrases like mall washington dc, national mall washington, mall washington, national mall, protest national. These terms suggest a common theme or subject matter across the documents.",Topic 112: 112_mall washington dc_national mall washington_mall washington_national mall
113,113_birmingham_birmingham al_st vincents_vincents,23,0.02%,"birmingham, birmingham al, st vincents, vincents, vincents hospital, st vincents hospital, flooding, al usa, al, birmingham al witness",message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsfbeguillermo ft floor flooded s...; message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsfbeguillermo ft total water res...; message sent subject first alert flash alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibonfspdltcnrecipientscnfcacafalfbeguillermo ft multiple water rescue un...,"This topic appears to be about 113_birmingham_birmingham al_st vincents_vincents. The documents in this topic are grouped together because they frequently contain words and phrases like birmingham, birmingham al, st vincents, vincents, vincents hospital. These terms suggest a common theme or subject matter across the documents.",Topic 113: 113_birmingham_birmingham al_st vincents_vincents
114,114_lockheed_fort worth tx_worth tx_fort worth,23,0.02%,"lockheed, fort worth tx, worth tx, fort worth, worth, lockheed martin, martin fort worth, martin fort, lockheed martin fort, fort",message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo ft main gate reopen...; message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo ft suspect killed a...; message sent subject first alert flash alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo ft lockdown perimeter exp...,"This topic appears to be about 114_lockheed_fort worth tx_worth tx_fort worth. The documents in this topic are grouped together because they frequently contain words and phrases like lockheed, fort worth tx, worth tx, fort worth, worth. These terms suggest a common theme or subject matter across the documents.",Topic 114: 114_lockheed_fort worth tx_worth tx_fort worth
115,115_dhabi_abu dhabi_uae_abu,23,0.02%,"dhabi, abu dhabi, uae, abu, abu dhabi uae, dhabi uae, uae local, houthis, coach, houthi",message sent subject first alert urgent alertdataminrcomj pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo rj individual say ill mur...; message sent subject first alert alert alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo ft individual say ill hir...; message sent subject first alert flash alertdataminrcom rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo ft explosion sky due possibl...,"This topic appears to be about 115_dhabi_abu dhabi_uae_abu. The documents in this topic are grouped together because they frequently contain words and phrases like dhabi, abu dhabi, uae, abu, abu dhabi uae. These terms suggest a common theme or subject matter across the documents.",Topic 115: 115_dhabi_abu dhabi_uae_abu
116,116_ncaa_supreme court_supreme_court,23,0.02%,"ncaa, supreme court, supreme, court, studentathlete, compensation, via supreme court, via supreme, studentathlete compensation, government via supreme",message sent subject first alert urgent alertdataminrcomj pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo rj national college playe...; message sent subject first alert urgent alertdataminrcomj pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo rj u supreme court agrees...; message sent subject first alert urgent alertdataminrcomj pm montagna carolyn mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnbddcbfebcarolyn monj national college player a...,"This topic appears to be about 116_ncaa_supreme court_supreme_court. The documents in this topic are grouped together because they frequently contain words and phrases like ncaa, supreme court, supreme, court, studentathlete. These terms suggest a common theme or subject matter across the documents.",Topic 116: 116_ncaa_supreme court_supreme_court
117,117_peta official_dc peta official_peta official post_dc peta,23,0.02%,"peta official, dc peta official, peta official post, dc peta, washington dc peta, hhs building washington, peta, hhs building, hhs, lobby hhs building",message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo ft police detain ...; message sent subject first alert urgent alertdataminrcomj pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo rj activist crowd lobby...; message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo rj police confisc...,"This topic appears to be about 117_peta official_dc peta official_peta official post_dc peta. The documents in this topic are grouped together because they frequently contain words and phrases like peta official, dc peta official, peta official post, dc peta, washington dc peta. These terms suggest a common theme or subject matter across the documents.",Topic 117: 117_peta official_dc peta official_peta official post_dc peta
118,118_whatcom county_whatcom_peaceful valley_peaceful,22,0.02%,"whatcom county, whatcom, peaceful valley, peaceful, near peaceful valley, near peaceful, valley, wa, maple fall, deputy",message sent subject first alert urgent update alertdataminrcom rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo ft whatcom county sh...; message sent subject first alert urgent update alertdataminrcom rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo ft two deputy stable...; message sent subject first alert urgent update alertdataminrcom ennis ralph mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnbaedefaaadfccdralph ennis whatcom county sheriff...,"This topic appears to be about 118_whatcom county_whatcom_peaceful valley_peaceful. The documents in this topic are grouped together because they frequently contain words and phrases like whatcom county, whatcom, peaceful valley, peaceful, near peaceful valley. These terms suggest a common theme or subject matter across the documents.",Topic 118: 118_whatcom county_whatcom_peaceful valley_peaceful
119,119_chemical biological_biological_chemical_russia,22,0.02%,"chemical biological, biological, chemical, russia, chemical biological weapon, biological weapon, russia deploy, deploy chemical, deploy chemical biological, tiger team",message sent subject first alert digest alertdataminrcomj pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo rj first alert dataminr...; message sent subject first alert urgent alertdataminrcomj rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo rj u president biden task ti...; message sent subject first alert urgent alertdataminrcomj pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo rj senior u defense off...,"This topic appears to be about 119_chemical biological_biological_chemical_russia. The documents in this topic are grouped together because they frequently contain words and phrases like chemical biological, biological, chemical, russia, chemical biological weapon. These terms suggest a common theme or subject matter across the documents.",Topic 119: 119_chemical biological_biological_chemical_russia
120,120_nato_video call_europe_trip,22,0.02%,"nato, video call, europe, trip, poland, brussels, kancelaria prezydenta, prezydenta, kancelaria, traveling europe",message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo ft u president bide...; message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibonfspdltcnrecipientscnfcacafalsofbeguillermo ft white house of...; message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo ft u president bide...,"This topic appears to be about 120_nato_video call_europe_trip. The documents in this topic are grouped together because they frequently contain words and phrases like nato, video call, europe, trip, poland. These terms suggest a common theme or subject matter across the documents.",Topic 120: 120_nato_video call_europe_trip
121,121_iran_iaea_uranium_nuclear,22,0.02%,"iran, iaea, uranium, nuclear, iranian, enriched, tehran, iran nuclear, tehran iran, via axios",message sent subject first alert flash alertdataminrcom dc govern ntouexternal fydibohfspdltcnrecipientscncfebbdbbfb iranian government spokesperson say begun enriching uranium purity fordow nuclear p...; message sent subject first alert urgent update alertdataminrcom pm dc govern ntouexternal fydibohfspdltcnrecipientscncfebdbbf u state department official say iran uranium enrichment nuclear extortion ...; message sent subject first alert urgent alertdataminrcomj pm carolynmontagnadcgov vodc governmentouexternal fydibonfspdltcnrecipientscncdedefddseb u president biden say lift sanction iran first cease ...,"This topic appears to be about 121_iran_iaea_uranium_nuclear. The documents in this topic are grouped together because they frequently contain words and phrases like iran, iaea, uranium, nuclear, iranian. These terms suggest a common theme or subject matter across the documents.",Topic 121: 121_iran_iaea_uranium_nuclear
122,122_newport beach_newport_newport beach ca_beach ca,22,0.02%,"newport beach, newport, newport beach ca, beach ca, beach, near newport beach, near newport, helicopter, helicopter crash, ca",message sent subject first alert urgent alertdataminrcomj rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsfbeguillermo ft helicopter reportedly lo...; message sent subject first alert urgent update alertdataminrcom rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo ft police officer dy...; message sent subject first alert urgent update alertdataminrcom rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcaclafalofbeguillermo r police confirm pol...,"This topic appears to be about 122_newport beach_newport_newport beach ca_beach ca. The documents in this topic are grouped together because they frequently contain words and phrases like newport beach, newport, newport beach ca, beach ca, beach. These terms suggest a common theme or subject matter across the documents.",Topic 122: 122_newport beach_newport_newport beach ca_beach ca
123,123_kroger_collierville_collierville tn_tn,21,0.02%,"kroger, collierville, collierville tn, tn, shooting kroger, byhalia, new byhalia, kroger collierville, byhalia road, new byhalia road",message sent subject first alert urgent update alertdataminrcom pm odc govern ntou fi rst administrative redacted injury suspect custody man knife threatens customer kroger store gallatin avenue east ...; message sent subject first alert urgent update alertdataminrcom pm guillermoriveradcgov odc govern entoufi rst administrative groupcnrecipientscnguillermorivera shooting suspect standing roof kroger g...; message sent subject first alert urgent update alertdataminrcom pm guillermoriveradcgov odc governmentoufirst administrative groupcnrecipientscnguillermorivera police source report least nine people s...,"This topic appears to be about 123_kroger_collierville_collierville tn_tn. The documents in this topic are grouped together because they frequently contain words and phrases like kroger, collierville, collierville tn, tn, shooting kroger. These terms suggest a common theme or subject matter across the documents.",Topic 123: 123_kroger_collierville_collierville tn_tn
124,124_bolton_former national security_former national_national security advisor,21,0.02%,"bolton, former national security, former national, national security advisor, security advisor, advisor, john bolton, advisor john bolton, security advisor john, advisor john",message sent subject first alert urgent alertdataminrcomj pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo rj u house republican u...; message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibonfspdltcnrecipientscnfcacafalfbeguillermo rj u secret service...; message sent subject first alert urgent alertdataminrcomj pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo rj u secret service vehic...,"This topic appears to be about 124_bolton_former national security_former national_national security advisor. The documents in this topic are grouped together because they frequently contain words and phrases like bolton, former national security, former national, national security advisor, security advisor. These terms suggest a common theme or subject matter across the documents.",Topic 124: 124_bolton_former national security_former national_national security advisor
125,125_ky_tornado_kentucky_mayfield,21,0.02%,"ky, tornado, kentucky, mayfield, bowling, bowling green, bowling green ky, green ky, mayfield ky, beshear",message sent subject first alert urgent update alertdataminrcom rivera guillermo mpd oexchangelabsouexchange administrative group fydibonfspdltcnrecipientscnfcacafalsofbeguillermo ft kentucky governor...; message sent subject first alert urgent update alertdataminrcom rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo ft fire roof general...; message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibonfspdltcnrecipientscnfcacafalsofbeguillermo ft kentucky gover...,"This topic appears to be about 125_ky_tornado_kentucky_mayfield. The documents in this topic are grouped together because they frequently contain words and phrases like ky, tornado, kentucky, mayfield, bowling. These terms suggest a common theme or subject matter across the documents.",Topic 125: 125_ky_tornado_kentucky_mayfield
126,126_albuquerque_albuquerque nm_nm_northeast albuquerque nm,21,0.02%,"albuquerque, albuquerque nm, nm, northeast albuquerque nm, northeast albuquerque, boulevard northeast, boulevard northeast albuquerque, montgomery boulevard, montgomery boulevard northeast, montgomery",message sent subject first alert flash alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo ft two officer injured ongo...; message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo ft possible activ...; message sent subject first alert flash alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo ft update suspect longer ...,"This topic appears to be about 126_albuquerque_albuquerque nm_nm_northeast albuquerque nm. The documents in this topic are grouped together because they frequently contain words and phrases like albuquerque, albuquerque nm, nm, northeast albuquerque nm, northeast albuquerque. These terms suggest a common theme or subject matter across the documents.",Topic 126: 126_albuquerque_albuquerque nm_nm_northeast albuquerque nm
127,127_draghi_minister draghi_prime minister draghi_prime minister,21,0.02%,"draghi, minister draghi, prime minister draghi, prime minister, prime, italian prime minister, italian prime, italian, minister, draghi oval office",message sent subject first alert urgent alertdataminrcomj pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo ft greek prime minister m...; message sent subject first alert urgent alertdataminrcomj pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo ft u president biden welc...; message sent subject first alert urgent alertdataminrcomj pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo ft u president biden spea...,"This topic appears to be about 127_draghi_minister draghi_prime minister draghi_prime minister. The documents in this topic are grouped together because they frequently contain words and phrases like draghi, minister draghi, prime minister draghi, prime minister, prime. These terms suggest a common theme or subject matter across the documents.",Topic 127: 127_draghi_minister draghi_prime minister draghi_prime minister
128,128_information_dc ca_mpd_cid,21,0.02%,"information, dc ca, mpd, cid, group name, number, open source, number people, participant, name",message sent cc subject anthony wade anthonywvoyageranalyticscom pm mpd greene lamar mpd lamargreenedcgov emerman stuart mpd stuartemermandcgov kane morgan mpd morgankanedcgov week meeting good aftern...; message sent subject first alert urgent alertdataminrcomj montagna carolyn mpd oexchangelabsouexchange administrative group fydibonfspdltcnrecipientscnbddcbfebcarolyn monj former nypd commissioner ber...; message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo ft u house januar...,"This topic appears to be about 128_information_dc ca_mpd_cid. The documents in this topic are grouped together because they frequently contain words and phrases like information, dc ca, mpd, cid, group name. These terms suggest a common theme or subject matter across the documents.",Topic 128: 128_information_dc ca_mpd_cid
129,129_nato_finland_sweden_niinisto,21,0.02%,"nato, finland, sweden, niinisto, finnish, turkey, president niinisto, finnish president, finnish president niinisto, minister",message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibonfspdltcnrecipientscnfcacafalfbeguillermo ft u president bide...; message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydi bohfspdltcnrecip ientscnfcacafa fbeguillermo r swedish prime m...; message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibonfspdltcnrecipientscnfcacafalfbeguillermo ft finnish presiden...,"This topic appears to be about 129_nato_finland_sweden_niinisto. The documents in this topic are grouped together because they frequently contain words and phrases like nato, finland, sweden, niinisto, finnish. These terms suggest a common theme or subject matter across the documents.",Topic 129: 129_nato_finland_sweden_niinisto
130,130_justice thomas_thomas_symptom_flulike symptom,21,0.02%,"justice thomas, thomas, symptom, flulike symptom, flulike, court justice thomas, supreme court justice, court justice, justice, thomas hospitalized",message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo ft u supreme court ...; message sent subject first alert urgent alertdataminrcomj pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo ft u supreme court just...; message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo ft u supreme court ...,"This topic appears to be about 130_justice thomas_thomas_symptom_flulike symptom. The documents in this topic are grouped together because they frequently contain words and phrases like justice thomas, thomas, symptom, flulike symptom, flulike. These terms suggest a common theme or subject matter across the documents.",Topic 130: 130_justice thomas_thomas_symptom_flulike symptom
